video_title,views,likes,comments,release_date_time,link
The real reason dodo birds went extinct - Leon Claessens,498K,"16,384",,5 months ago,https://www.youtube.com/watch?v=0EBFpj60LRY
Would you raise the baby that ate your siblings? - Francesca Barbero,522K,"15,064",,5 months ago,https://www.youtube.com/watch?v=mmVvYwKxLdA
How to know if you're being selfish (and whether or not that's bad) - Mark Hopwood,506K,"15,556",,5 months ago,https://www.youtube.com/watch?v=mEsXDN1zj3I
"History vs. Egypt’s ""most powerful"" pharaoh - Jessica Tomkins",451K,"12,492",,5 months ago,https://www.youtube.com/watch?v=fVcKBox97P0
How much would it cost to buy the ocean? - Astrid J. Hsu,720K,"26,636",,6 months ago,https://www.youtube.com/watch?v=1siE5_Q9vs0
Why is rice so popular? - Carolyn Beans,704K,"22,212",852,6 months ago,https://www.youtube.com/watch?v=YiiLg_KbZDM
Are pandas the most misunderstood animal? - Lucy Cooke,434K,"15,233",411,6 months ago,https://www.youtube.com/watch?v=4UORR38l9fo
Why is Texas hold 'em so popular? - James McManus,898K,"25,907",,6 months ago,https://www.youtube.com/watch?v=E_fAWuj7DDI
How to get motivated even when you don’t feel like it,1.3M,"52,227",,6 months ago,https://www.youtube.com/watch?v=II5h6uJPvvs
The science of laughter - Sasha Winkler,847K,"26,278",,6 months ago,https://www.youtube.com/watch?v=Xu-QfE_1ksk
Does planting trees actually cool the planet? - Carolyn Beans,494K,"17,053",,6 months ago,https://www.youtube.com/watch?v=bbxmH_Kj7fk
What the biggest brain on Earth can do - David Gruber and Shane Gero,248K,"9,715",196,7 months ago,https://www.youtube.com/watch?v=00Ar2_irvJk
The largest river on Earth is actually in the sky - Iseult Gillespie,992K,"36,748",,7 months ago,https://www.youtube.com/watch?v=tm6VSkm_ko8
The rights you might not realize you have - Shannon Odell,459K,"8,731",,7 months ago,https://www.youtube.com/watch?v=sTW3dvuDmBE
"How did South African Apartheid happen, and how did it finally end? - Thula Simpson",514K,"16,530",,7 months ago,https://www.youtube.com/watch?v=ke4kVFycpYY
How to make smart decisions more easily,1.2M,"51,393",,7 months ago,https://www.youtube.com/watch?v=X7j8F16eSqs
The diseases that changed humanity forever - Dan Kwartler,556K,"13,220",,7 months ago,https://www.youtube.com/watch?v=Rnln3C-Las4
What killed all the bison? - Andrew C. Isenberg,291K,"11,521",619,7 months ago,https://www.youtube.com/watch?v=TXldnrwrBws
Something weird is happening in our galaxy - Ashkbiz Danehkar,272K,"9,240",301,7 months ago,https://www.youtube.com/watch?v=iyOVbs_mO7o
The gory history of barber surgeons - Stephanie Honchell Smith,616K,"19,157",384,8 months ago,https://www.youtube.com/watch?v=fGPPy__YnrI
The most devastating asteroid to hit Earth - Sean P. S. Gulick,221K,"10,245",385,8 months ago,https://www.youtube.com/watch?v=PUptWlp-hoI
Can you solve a mystery before Sherlock Holmes? - Alex Rosenthal,513K,"14,907",,8 months ago,https://www.youtube.com/watch?v=5pBGutEhZes
Can you solve the secret assassin society riddle? - Alex Rosenthal,854K,"23,881","1,164",8 months ago,https://www.youtube.com/watch?v=XkHJyqZqjxE
What really caused the Irish Potato Famine - Stephanie Honchell Smith,754K,"21,140",,8 months ago,https://www.youtube.com/watch?v=OUieqzVZdQc
Japan's scariest ghost story - Kit Brooks,416K,"15,220",334,8 months ago,https://www.youtube.com/watch?v=MQu7DEhpr-8
The dark history of werewolves - Craig Thomson,397K,"15,115",338,8 months ago,https://www.youtube.com/watch?v=VP0fd2be71s
A tour of the ancient Greek Underworld - Iseult Gillespie,739K,"22,426",,8 months ago,https://www.youtube.com/watch?v=LBALm7CeEG4
How to overcome your mistakes,977K,"39,819",,8 months ago,https://www.youtube.com/watch?v=eBz7iUJu9UM
Confused about recycling? It’s not your fault - Shannon Odell,284K,"12,268",,9 months ago,https://www.youtube.com/watch?v=_EF4LXLxquM
3 tips on how to study effectively,3.7M,"156,421",,9 months ago,https://www.youtube.com/watch?v=TjPFZaMe2yw
How you survive the coldest place on Earth - Nadia Frontier,191K,"7,174",127,9 months ago,https://www.youtube.com/watch?v=e4Mj6wOURSg
What would happen if everyone stopped eating meat tomorrow? - Carolyn Beans,746K,"25,071",,9 months ago,https://www.youtube.com/watch?v=JAyuHIthHco
Ethical dilemma: What makes life worth living? - Douglas MacLean,549K,"21,078","1,548",9 months ago,https://www.youtube.com/watch?v=2aEQDi2ZYCI
A day in the rebellion against the Inca Empire - Gabriel Prieto,226K,"7,683",219,9 months ago,https://www.youtube.com/watch?v=nLgt4Z5L8XI
Do mosquitos actually bite some people more than others? - Maria Elena De Obaldia,496K,"13,772",,9 months ago,https://www.youtube.com/watch?v=V6rRifwIaio
Why did hospitals have these frogs in their supply rooms? - Carly Anne York,181K,"6,381",231,9 months ago,https://www.youtube.com/watch?v=PLmmb2f1fDk
Why is this painting of a black square famous? - Allison Leigh,303K,"10,567",401,9 months ago,https://www.youtube.com/watch?v=ZY5PtopO-LI
What happens when you fall into piranha-infested waters? - Antonio Machado-Allison,890K,"22,193",,10 months ago,https://www.youtube.com/watch?v=YIYcrqBrq2U
Can you change your sleep schedule?,1.6M,"51,927",,10 months ago,https://www.youtube.com/watch?v=Amkg1cdDCpM
Can you solve the cursed dice riddle? - Dan Finkel,777K,"20,297",726,10 months ago,https://www.youtube.com/watch?v=urOkfsIRFlw
This is what happens when you hit the gas - Shannon Odell,804K,"31,745",,10 months ago,https://www.youtube.com/watch?v=DgzxhDHjzms
Why is it so hard to break a bad habit?,864K,"27,283",451,10 months ago,https://www.youtube.com/watch?v=wr6fQ4KpbRM
The one thing stopping jellyfish from taking over - Mariela Pajuelo & Javier Antonio Quinones,987K,"28,206",,10 months ago,https://www.youtube.com/watch?v=eY3_ZkQx5T4
Can alligators survive this apex predator? - Kenny Coogan,226K,"6,747",,10 months ago,https://www.youtube.com/watch?v=eU2Efwlbm8s
"Which is better for you: ""Real"" meat or ""fake"" meat? - Carolyn Beans",495K,"15,569",,10 months ago,https://www.youtube.com/watch?v=YTAmyCgmrZE
"A 5,300-year-old murder mystery - Albert Zink",1.1M,"38,330",,11 months ago,https://www.youtube.com/watch?v=mRa0Gi_mRjs
How the water you flush becomes the water you drink - Francis de los Reyes,397K,"12,230",,11 months ago,https://www.youtube.com/watch?v=SYia4zqcE4g
Whoever builds something here will be rich beyond measure - Fabio Pacucci,345K,"11,256",227,11 months ago,https://www.youtube.com/watch?v=LGpEbF4aZzs
What happens if you don’t put your phone in airplane mode? - Lindsay DeMarchi,3.2M,"96,967","1,510",11 months ago,https://www.youtube.com/watch?v=iKYHf22qVdM
Why your phone battery gets worse over time - George Zaidan,511K,"17,133",407,11 months ago,https://www.youtube.com/watch?v=vc8UBSp1tz0
How dangerous was it to be a jester? - Beatrice K. Otto,1M,"33,162",721,11 months ago,https://www.youtube.com/watch?v=z-t-l8vjQQI
How to enter flow state,1.3M,"65,563",,11 months ago,https://www.youtube.com/watch?v=0rIjFCNay2Q
Science vs. Pseudoscience - Siska De Baerdemaeker,359K,"15,812",,11 months ago,https://www.youtube.com/watch?v=TyuGBi6joxY
The rise and fall of Italy’s warriors-for-hire - Stephanie Honchell Smith,242K,"8,053",178,11 months ago,https://www.youtube.com/watch?v=QF59xcceqrc
One of history's most dangerous myths - Anneliese Mehnert,445K,"18,545",,11 months ago,https://www.youtube.com/watch?v=3GWqM-IoAgM
What's happening to Earth's core? - Shannon Odell,391K,"12,619",,1 year ago,https://www.youtube.com/watch?v=XLjdNXBZm3I
Can other animals understand death? - Barbara J. King,900K,"38,626","1,494",1 year ago,https://www.youtube.com/watch?v=9sNpMb4M7XM
Can you solve the time traveling car riddle? - Dan Finkel,680K,"14,702",,1 year ago,https://www.youtube.com/watch?v=Ya9S6PyC1Sg
Why did Megalodon go extinct? - Jack Cooper and Catalina Pimiento,1.1M,"25,254",,1 year ago,https://www.youtube.com/watch?v=6LGCk08zMbg
Gravity vs. Pressure: The battle that formed the universe - Fabio Pacucci,184K,"6,805",,1 year ago,https://www.youtube.com/watch?v=kU8s_4HBG98
What caused the Rwandan Genocide? - Susanne Buckley-Zistel,1M,"25,873",,1 year ago,https://www.youtube.com/watch?v=MF7EbUGlaOU
Should you switch to solar? - Shannon Odell,361K,"11,818",,1 year ago,https://www.youtube.com/watch?v=dhiWSsKUWEg
Why is Marie Antoinette so controversial? - Carolyn Harris,1M,"34,782",,1 year ago,https://www.youtube.com/watch?v=5D3hQS6ezXc
Who is the fastest god in all mythology? - Iseult Gillespie,332K,"8,643",,1 year ago,https://www.youtube.com/watch?v=GqZvqVfa1Zo
What it means if you can see faces in objects - Susan G. Wardle,395K,"11,041",,1 year ago,https://www.youtube.com/watch?v=zpOoBtFNYuw
What did people do before anesthesia? - Sally Frampton,1.4M,"39,711",,1 year ago,https://www.youtube.com/watch?v=FBlcU4GdxCc
Food expiration dates don’t mean what you think - Carolyn Beans,4.4M,"131,827",,1 year ago,https://www.youtube.com/watch?v=jDg8DQl7ZeQ
Test yourself: Can you tell the difference between music and noise? - Hanako Sawada,565K,"21,003",671,1 year ago,https://www.youtube.com/watch?v=UsY-WfoKy80
How (and why) to read William Faulkner  - Sascha Morrell,228K,"7,567",,1 year ago,https://www.youtube.com/watch?v=wYQWh8VGL3M
Can you outsmart Fate and break her ancient curse? - Dan Finkel,1.1M,"25,210","1,264",1 year ago,https://www.youtube.com/watch?v=UIeT1zxsus0
We can prevent the next epidemic - George Zaidan,396K,"7,888",,1 year ago,https://www.youtube.com/watch?v=wefiAkgs09M
Is it normal to talk to yourself?,5.7M,"300,179",,1 year ago,https://www.youtube.com/watch?v=iNyUmbmQQZg
The strangest summer in recorded history - David Biello,449K,"12,185",422,1 year ago,https://www.youtube.com/watch?v=UgMxLAi-odI
Why were there three popes at the same time? - Joëlle Rollo-Koster,1M,"28,047",,1 year ago,https://www.youtube.com/watch?v=7i2bd5F1BXM
Humans are all almost exactly the same... almost  - Greg Foot,203K,"7,405",,1 year ago,https://www.youtube.com/watch?v=jxPtx0cQvqo
The rise and fall of the Mughal Empire - Stephanie Honchell Smith,841K,"21,037",,1 year ago,https://www.youtube.com/watch?v=fMsmCxIEQr4
Why do we have crooked teeth when our ancestors didn’t? - G. Richard Scott,3.8M,"94,783",,1 year ago,https://www.youtube.com/watch?v=li1kO3hg4iE
The records the British Empire didn't want you to see - Audra A. Diptée,322K,"14,715","1,013",1 year ago,https://www.youtube.com/watch?v=oPGVGckn7kQ
"The return of Mongolia's ""wild"" horses - Nigel Rothfels",209K,"8,281",,1 year ago,https://www.youtube.com/watch?v=Xj5nH5JtJAQ
Why do we eat popcorn at the movies? - Andrew Smith,1M,"27,192",,1 year ago,https://www.youtube.com/watch?v=5EsICTVo2dM
Whatever happened to the hole in the ozone layer? - Stephanie Honchell Smith,536K,"20,079",772,1 year ago,https://www.youtube.com/watch?v=5wVJeq4mLL0
The surprising secret to a healthier gut - Kathryn M. Stephenson and David L. Suskind,340K,"10,189",,1 year ago,https://www.youtube.com/watch?v=ryGpw660ehc
The Hawaiian story of the wind keepers - Sydney Iaukea,212K,"5,983",171,1 year ago,https://www.youtube.com/watch?v=uLNWhyNBvW4
How does this all-female species reproduce? - Susana Freitas and Darren Parker,426K,"17,103",,1 year ago,https://www.youtube.com/watch?v=hdkcXqQPMdM
Is AI the most important technology of the century?,346K,"14,840",539,1 year ago,https://www.youtube.com/watch?v=-T__YWoq45I
How stretching actually changes your muscles - Malachy McHugh,6.2M,"162,662",,1 year ago,https://www.youtube.com/watch?v=g1pb2aK2we4
This one weird trick will get you infinite gold - Dan Finkel,1.1M,"29,662",,1 year ago,https://www.youtube.com/watch?v=qgvmJTmJIKs
"Puke, poop and tiny cockroaches: How the leafcutter ant queen runs her farm - Charles Wallace",275K,"9,076",,1 year ago,https://www.youtube.com/watch?v=BQE--8L8Fn0
A day in the life of a teenager in medieval Baghdad - Birte Kristiansen and Petra Sijpesteijn,678K,"25,140",969,1 year ago,https://www.youtube.com/watch?v=CNO9aOlGNkE
The man who lost his sense of touch - Antonio Cataldo,425K,"13,562",,1 year ago,https://www.youtube.com/watch?v=X7xOEez75B0
What happens if an engineered virus escapes the lab?,900K,"31,187",,1 year ago,https://www.youtube.com/watch?v=WJ-XXQCcXik
How the Mongols used horses to create an empire - William T. Taylor,658K,"18,765",,1 year ago,https://www.youtube.com/watch?v=_uhIhkuh6zo
6 myths about the Middle Ages that everyone believes - Stephanie Honchell Smith,1.9M,"54,352","1,385",1 year ago,https://www.youtube.com/watch?v=e9-l34TcV_U
The continents are moving. When will they collide? - Jean-Baptiste P. Koehl,356K,"10,055",283,1 year ago,https://www.youtube.com/watch?v=SbIpWHQI-tE
What if you experienced every human life in history?,2.9M,"120,743",,1 year ago,https://www.youtube.com/watch?v=bFIVYRfyb3E
What happens when the Arctic permafrost melts? - Brendan Rogers and Jessica Howard,320K,"10,684",296,1 year ago,https://www.youtube.com/watch?v=7VV4s4uiwLY
One of the most banned books of all time - Mollie Godfrey,732K,"31,401",786,1 year ago,https://www.youtube.com/watch?v=h2Aqa5e4CYY
How to manage your emotions,1.8M,"64,339",,1 year ago,https://www.youtube.com/watch?v=Uew5BbvmLks
Can you freeze your body and come back to life? - Shannon N. Tessier,974K,"23,043",,1 year ago,https://www.youtube.com/watch?v=rFGDJH7SZNU
How do airplanes actually fly? - Raymond Adkins,1.6M,"47,026",,1 year ago,https://www.youtube.com/watch?v=p4VHMsIuPmk
"One of the most ""dangerous"" men in American history - Keenan Norris",251K,"8,318",197,1 year ago,https://www.youtube.com/watch?v=rOOLAGXdGpI
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",503K,"14,269","1,191",1 year ago,https://www.youtube.com/watch?v=lq8TNKZVEWs
Ethical dilemma: Should we get rid of mosquitoes? - Talya Hackett,896K,"29,395",,1 year ago,https://www.youtube.com/watch?v=H7i9Anh0_Dg
Can you steal the most powerful wand in the wizarding world? - Dan Finkel,811K,"16,882",905,1 year ago,https://www.youtube.com/watch?v=2-VTLiy0Lls
How to deal with rejection,665K,"25,701",,1 year ago,https://www.youtube.com/watch?v=KO6bbZOc2B4
When are you actually an adult? - Shannon Odell,554K,"18,397",,1 year ago,https://www.youtube.com/watch?v=AESkozhaT4s
Mao Zedong's infamous mango cult - Vivian Jiang,533K,"22,936",,1 year ago,https://www.youtube.com/watch?v=BGxYMTftuzw
What’s worse than a wasp’s sting? Murder - Miles Zhang,573K,"12,906",456,1 year ago,https://www.youtube.com/watch?v=xqaX2yi0VF8
What makes Thomas Jefferson so controversial? - Frank Cogliano,485K,"15,135",,1 year ago,https://www.youtube.com/watch?v=c517cpFALXE
Why are beavers obsessed with dams? - Glynnis Hood,399K,"13,846",323,1 year ago,https://www.youtube.com/watch?v=9_AuKM7S6TU
Why do you want to squeeze cute things? - Joshua Paul Dale,1.1M,"49,238",,1 year ago,https://www.youtube.com/watch?v=yxsoE3jO8HM
3 ways to end a virus,437K,"13,897",,1 year ago,https://www.youtube.com/watch?v=e2vfBo-pG8I
What sex ed doesn’t tell you about your brain - Shannon Odell,1.8M,"59,846",,1 year ago,https://www.youtube.com/watch?v=deNGkzUlhZU
The best way to apologize (according to science),1.5M,"62,744",,1 year ago,https://www.youtube.com/watch?v=q-ApAdEOm5s
Zumbi: The last king of Palmares - Marc Adam Hertzman & Flavio dos Santos Gomes,215K,"9,093",,1 year ago,https://www.youtube.com/watch?v=5ckmXwx2n88
The science of falling in love - Shannon Odell,1.8M,"84,864",,1 year ago,https://www.youtube.com/watch?v=f_OPjYQovAE
How will AI change the world?,1.8M,"47,650",,1 year ago,https://www.youtube.com/watch?v=RzkD_rTEBYs
Is this the most beautiful building in the world? - Stephanie Honchell Smith,679K,"23,100",,1 year ago,https://www.youtube.com/watch?v=v580zy82rcE
How do we create a better economy?,474K,"19,209",729,1 year ago,https://www.youtube.com/watch?v=6MK6tuZ7Rws
Why plague doctors wore beaked masks,1.6M,"41,359",,1 year ago,https://www.youtube.com/watch?v=LMt8xm4t7XQ
4 things all great listeners know,1.7M,"62,234",,1 year ago,https://www.youtube.com/watch?v=i3ku5nx4tMU
Lesson 1: What are ideas?,164K,"4,452",,1 year ago,https://www.youtube.com/watch?v=orBYbxxrJSU
The sibling rivalry that divided a town - Jay Van Bavel and Dominic Packer,285K,"9,985",363,1 year ago,https://www.youtube.com/watch?v=fNUQ8RnuUFk
How do oysters make pearls? - Rob Ulrich,1.2M,"29,959",,1 year ago,https://www.youtube.com/watch?v=TGxKkBC6L2k
Will there be another pandemic in your lifetime?,443K,"12,771",,1 year ago,https://www.youtube.com/watch?v=tMXjUWvJJto
Ethical dilemma: Whose life is more valuable? - Rebecca L. Walker,777K,"22,826",,1 year ago,https://www.youtube.com/watch?v=3rQi2uNqwxk
Could this technology end all viruses?,279K,"9,264",,1 year ago,https://www.youtube.com/watch?v=Z2Y0GMCFWq0
Is capitalism actually broken?,1M,"44,586","4,739",1 year ago,https://www.youtube.com/watch?v=wcR815SfWOU
Why you procrastinate even when it feels bad,7.5M,"397,139",,1 year ago,https://www.youtube.com/watch?v=FWTNMzK9vG4
"Gibberish, urine, and utter chaos: What happens when you sleepwalk - Emmanuel During",390K,"11,795",,1 year ago,https://www.youtube.com/watch?v=o_JLTmIFq_A
Why is it so hard to cure the common cold?,858K,"23,895",,1 year ago,https://www.youtube.com/watch?v=LsqCA50d7BM
What’s the smartest age? - Shannon Odell,1.6M,"41,931",,1 year ago,https://www.youtube.com/watch?v=sbCvQbBi2G8
How did they build the Great Pyramid of Giza? - Soraya Field Fiorio,1.3M,"31,939",,1 year ago,https://www.youtube.com/watch?v=fJBlEPOj4Fk
Is inequality inevitable?,1.1M,"42,912",,1 year ago,https://www.youtube.com/watch?v=rEnf_CFoyv0
What does the world's largest machine do? - Henry Richardson,312K,"9,720",245,1 year ago,https://www.youtube.com/watch?v=YomAHwuuQEI
Should you care what your parents think?,622K,"20,839",,1 year ago,https://www.youtube.com/watch?v=ABYBtcM2D28
The myth of Pegasus and the chimera - Iseult Gillespie,842K,"19,930",,1 year ago,https://www.youtube.com/watch?v=BDprlH1sK_Y
Can you solve the alien pyramid riddle? - Henri Picciotto,797K,"16,491",,1 year ago,https://www.youtube.com/watch?v=qsc3YZ2S924
Is it possible to lose weight fast? - Hei Man Chan,2.5M,"76,389",,1 year ago,https://www.youtube.com/watch?v=P7yM0TKvUm4
These companies with no CEO are thriving,279K,"11,988",,1 year ago,https://www.youtube.com/watch?v=4M6lrhuiPv0
How friendship affects your brain - Shannon Odell,1.1M,"32,300",,1 year ago,https://www.youtube.com/watch?v=YmVpwXH4jhA
The myth of Zeus' test - Iseult Gillespie,1.7M,"54,121",,1 year ago,https://www.youtube.com/watch?v=ogE1nzLawJ0
The benefits of daydreaming - Elizabeth Cox,761K,"28,480",,1 year ago,https://www.youtube.com/watch?v=oiAQlDBJ88U
Plato's allegory of the ring - Alex Gendler,2.4M,"85,626",,1 year ago,https://www.youtube.com/watch?v=TfVmW6sNux8
What is a gig economy?,365K,"11,923",344,1 year ago,https://www.youtube.com/watch?v=OXT8xdqcAoU
Would you pass the wallet test?,1.1M,"34,736","1,751",1 year ago,https://www.youtube.com/watch?v=7Z8TyGKOLys
"Coneheads, egg stacks and anteater attacks: The reign of a termite queen - Barbara L. Thorne",427K,"12,296",,1 year ago,https://www.youtube.com/watch?v=JGnXq8l-rwo
The Boltzmann brain paradox - Fabio Pacucci,1.2M,"45,689","1,964",1 year ago,https://www.youtube.com/watch?v=OpohbXB_JZU
The secret formula to Agatha Christie's murder mysteries - Jamie Bernthal,748K,"33,626",,1 year ago,https://www.youtube.com/watch?v=98pNh3LtV8c
Why did Phillis Wheatley disappear? - Charita Gainey,183K,"7,054",176,1 year ago,https://www.youtube.com/watch?v=MgrwWuaRuso
Can the economy grow forever?,884K,"33,843",,1 year ago,https://www.youtube.com/watch?v=mT3P0YSNonE
The rise and fall of the medieval Islamic Empire - Petra Sijpesteijn & Birte Kristiansen,1.5M,"45,254",,1 year ago,https://www.youtube.com/watch?v=rQ0EKiCt6H8
Can you guess what's wrong with these paintings? - Noah Charney,717K,"20,907",476,1 year ago,https://www.youtube.com/watch?v=T-fMSph7Iyo
A brief history of Spanish - Ilan Stavans,405K,"17,123",,1 year ago,https://www.youtube.com/watch?v=qAXh9DHOm48
Why a sausage can do what your gloves cannot - Charles Wallace and Sajan Saini,1.5M,"61,049",,1 year ago,https://www.youtube.com/watch?v=IdWXT391FJE
This weird trick will help you summon an army of worms - Kenny Coogan,1.2M,"43,611","1,751",1 year ago,https://www.youtube.com/watch?v=RDA64eUoxag
The true cost of gold -  Lyla Latif,454K,"17,783",,1 year ago,https://www.youtube.com/watch?v=1nglN3mfZUw
The 4 greatest threats to the survival of humanity,493K,"19,075",,1 year ago,https://www.youtube.com/watch?v=WP6T4MH0Dn4
"What causes yeast infections, and how do you get rid of them? - Liesbeth Demuyser",952K,"24,972","1,090",2 years ago,https://www.youtube.com/watch?v=Bgc1C1xI2dA
Hagfish: The world's slimiest creatures - Noah R. Bressman and Douglas Fudge,314K,"10,156",,2 years ago,https://www.youtube.com/watch?v=aiDOtMXICXk
The smallest solution to one of our biggest problems - Tierney Thys & Christian Sardet,449K,"16,300",500,2 years ago,https://www.youtube.com/watch?v=-m0YaE8uKcg
How does alcohol cause hangovers? - Judy Grisel,1.1M,"29,320",,2 years ago,https://www.youtube.com/watch?v=FZc-Y9gqjHI
What’s the best country to live in?,665K,"20,617",,2 years ago,https://www.youtube.com/watch?v=EqJcNnijmdQ
